time_s,latency_ms
0.009108,9.1079
0.016320,7.1674
0.023468,7.1382
0.030649,7.1788
0.037798,7.1456
0.044936,7.1371
0.052067,7.1270
0.059209,7.1403
0.066340,7.1299
0.073463,7.1213
0.080592,7.1286
0.087717,7.1236
0.094841,7.1226
0.101966,7.1233
0.109090,7.1231
0.116214,7.1234
0.123360,7.1435
0.130486,7.1247
0.137690,7.2009
0.144841,7.1493
0.151967,7.1236
0.159128,7.1604
0.166264,7.1348
0.173392,7.1265
0.180519,7.1253
0.187665,7.1449
0.194792,7.1248
0.201917,7.1241
0.209047,7.1284
0.216172,7.1240
0.223299,7.1246
0.230427,7.1266
0.237561,7.1319
0.244700,7.1375
0.251832,7.1311
0.258992,7.1583
0.266131,7.1361
0.273420,7.2876
0.280576,7.1539
0.287716,7.1393
0.294948,7.2301
0.302098,7.1467
0.309226,7.1271
0.316361,7.1323
0.323521,7.1582
0.330663,7.1408
0.337793,7.1283
0.344922,7.1277
0.352063,7.1392
0.359200,7.1347
0.366346,7.1446
0.373615,7.2679
0.380910,7.2930
0.388145,7.2328
0.395320,7.1725
0.402458,7.1359
0.409626,7.1667
0.416778,7.1497
0.423973,7.1941
0.431160,7.1847
0.438295,7.1333
0.445495,7.1986
0.452646,7.1494
0.459783,7.1356
0.466928,7.1431
0.474072,7.1425
0.481214,7.1404
0.488353,7.1379
0.495771,7.4163
0.502948,7.1748
0.510094,7.1447
0.517306,7.2103
0.524482,7.1726
0.531622,7.1382
0.538759,7.1351
0.545901,7.1403
0.553053,7.1507
0.560200,7.1453
0.567343,7.1416
0.574501,7.1565
0.581763,7.2593
0.588892,7.1243
0.596029,7.1361
0.603159,7.1269
0.610284,7.1235
0.617406,7.1206
0.624529,7.1209
0.631651,7.1213
0.638773,7.1207
0.645896,7.1219
0.653018,7.1210
0.660141,7.1219
0.667263,7.1209
0.674386,7.1218
0.681508,7.1209
0.688777,7.2677
0.695941,7.1628
0.703088,7.1451
0.710233,7.1432
0.717379,7.1441
0.724551,7.1708
0.731733,7.1797
0.738875,7.1407
0.746020,7.1431
0.753163,7.1403
0.760309,7.1443
0.767453,7.1425
0.774651,7.1962
0.781903,7.2498
0.789052,7.1461
0.796350,7.2965
0.803513,7.1614
0.810664,7.1489
0.817805,7.1397
0.824966,7.1584
0.832140,7.1716
0.839282,7.1407
0.846421,7.1373
0.853571,7.1475
0.860724,7.1508
0.867864,7.1382
0.874998,7.1328
0.882138,7.1388
0.889281,7.1418
0.896509,7.2257
0.903820,7.3097
0.910970,7.1484
0.918121,7.1489
0.925291,7.1689
0.932427,7.1338
0.939561,7.1324
0.946702,7.1388
0.953833,7.1294
0.960964,7.1300
0.968117,7.1521
0.975257,7.1383
0.982401,7.1424
0.989544,7.1412
0.996704,7.1586
1.003841,7.1355
1.011110,7.2675
1.018450,7.3381
1.025613,7.1609
1.032748,7.1333
1.039880,7.1308
1.047013,7.1313
1.054152,7.1369
1.061290,7.1372
1.068437,7.1449
1.075575,7.1366
1.082725,7.1487
1.089870,7.1430
1.097033,7.1608
1.104172,7.1383
1.111307,7.1336
1.118596,7.2872
1.125775,7.1772
1.132921,7.1443
1.140059,7.1363
1.147284,7.2225
1.154484,7.1984
1.161715,7.2274
1.168866,7.1477
1.176057,7.1888
1.183283,7.2233
1.190524,7.2373
1.197670,7.1442
1.204799,7.1284
1.211953,7.1519
1.219076,7.1214
1.226199,7.1214
1.233321,7.1209
1.240445,7.1223
1.247568,7.1215
1.254690,7.1212
1.261814,7.1237
1.268942,7.1251
1.276093,7.1491
1.283215,7.1207
1.290336,7.1207
1.297461,7.1236
1.304743,7.2802
1.311879,7.1353
1.319032,7.1513
1.326187,7.1526
1.333327,7.1383
1.340492,7.1635
1.347634,7.1403
1.354785,7.1495
1.361927,7.1402
1.369168,7.2389
1.376307,7.1342
1.383441,7.1328
1.390602,7.1586
1.397758,7.1543
1.405053,7.2936
1.412185,7.1301
1.419337,7.1512
1.426500,7.1602
1.433639,7.1379
1.440784,7.1429
1.447920,7.1346
1.455142,7.2208
1.462306,7.1625
1.469469,7.1611
1.476600,7.1291
1.483726,7.1250
1.490856,7.1289
1.497999,7.1411
1.505129,7.1280
1.512254,7.1237
1.519382,7.1262
1.526509,7.1251
1.533643,7.1319
1.540768,7.1236
1.547893,7.1231
1.555017,7.1232
1.562144,7.1256
1.569278,7.1327
1.576406,7.1258
1.583538,7.1308
1.590675,7.1348
1.597911,7.2343
1.605179,7.2665
1.612544,7.3632
1.619856,7.3102
1.627193,7.3354
1.634607,7.4116
1.641947,7.3357
1.649094,7.1457
1.656221,7.1250
1.663348,7.1264
1.670473,7.1229
1.677597,7.1231
1.684723,7.1238
1.691848,7.1243
1.698974,7.1250
1.706101,7.1254
1.713235,7.1320
1.720359,7.1225
1.727504,7.1439
1.734632,7.1250
1.741757,7.1233
1.748883,7.1243
1.756012,7.1277
1.763148,7.1342
1.770287,7.1378
1.777589,7.3001
1.784960,7.3677
1.792363,7.3976
1.799688,7.3231
1.807015,7.3241
1.814268,7.2513
1.821400,7.1313
1.828529,7.1268
1.835666,7.1255
1.842792,7.1241
1.849920,7.1268
1.857064,7.1426
1.864205,7.1393
1.871331,7.1242
1.878455,7.1233
1.885587,7.1305
1.892716,7.1270
1.899841,7.1240
1.906966,7.1230
1.914111,7.1441
1.921255,7.1417
1.928388,7.1315
1.935526,7.1358
1.942695,7.1678
1.949915,7.2174
1.957173,7.2563
1.964473,7.2989
1.971822,7.3474
1.979375,7.5517
1.986590,7.2112
1.993714,7.1205
2.000835,7.1205
2.007957,7.1211
2.015089,7.1309
2.022213,7.1206
2.029335,7.1205
2.036457,7.1205
2.043629,7.1714
2.050752,7.1218
2.057874,7.1205
2.064995,7.1208
2.072118,7.1217
2.079243,7.1233
2.086365,7.1208
2.093493,7.1272
2.100679,7.1845
2.107865,7.1836
2.115066,7.1994
2.122331,7.2627
2.129699,7.3665
2.137005,7.3040
2.144419,7.4130
2.151749,7.3282
2.159155,7.4032
2.166665,7.5079
2.174018,7.3517
2.181149,7.1285
2.188275,7.1252
2.195403,7.1263
2.202530,7.1250
2.209657,7.1261
2.216784,7.1256
2.223908,7.1229
2.231035,7.1244
2.238165,7.1283
2.245291,7.1254
2.252415,7.1226
2.259540,7.1238
2.266666,7.1237
2.273791,7.1233
2.280921,7.1287
2.288049,7.1265
2.295188,7.1380
2.302330,7.1402
2.309504,7.1722
2.316703,7.1975
2.324137,7.4328
2.331544,7.4029
2.338833,7.2872
2.346174,7.3394
2.353301,7.1264
2.360599,7.2963
2.367763,7.1520
2.374910,7.1444
2.382080,7.1680
2.389232,7.1474
2.396383,7.1491
2.403522,7.1377
2.410688,7.1645
2.417818,7.1278
2.424946,7.1269
2.432231,7.2827
2.439362,7.1287
2.446487,7.1230
2.453611,7.1233
2.460757,7.1441
2.467910,7.1510
2.475055,7.1433
2.482192,7.1362
2.489385,7.1912
2.496764,7.3777
2.504180,7.4133
2.511456,7.2738
2.518712,7.2550
2.526128,7.4146
2.533650,7.5178
2.541163,7.5108
2.548437,7.2722
2.555581,7.1431
2.562709,7.1263
2.569836,7.1255
2.576961,7.1237
2.584087,7.1246
2.591214,7.1257
2.598339,7.1240
2.605465,7.1240
2.612591,7.1253
2.619736,7.1431
2.626867,7.1296
2.633993,7.1245
2.641119,7.1244
2.648253,7.1329
2.655383,7.1291
2.662512,7.1266
2.669644,7.1303
2.676783,7.1374
2.683958,7.1745
2.691136,7.1758
2.698434,7.2966
2.705696,7.2604
2.712947,7.2486
2.720286,7.3378
2.727870,7.5822
2.735005,7.1334
2.742135,7.1273
2.749263,7.1270
2.756390,7.1255
2.763518,7.1269
2.770646,7.1259
2.777774,7.1271
2.784909,7.1326
2.792036,7.1256
2.799161,7.1235
2.806285,7.1227
2.813417,7.1302
2.820544,7.1263
2.827669,7.1229
2.834794,7.1234
2.841919,7.1237
2.849048,7.1274
2.856177,7.1271
2.863328,7.1487
2.870486,7.1568
2.877696,7.2084
2.885006,7.3079
2.892338,7.3296
2.899743,7.4036
2.907264,7.5189
2.914822,7.5565
2.922257,7.4337
2.929699,7.4397
2.936854,7.1537
2.943983,7.1271
2.951111,7.1267
2.958236,7.1236
2.965364,7.1268
2.972490,7.1239
2.979629,7.1376
2.986783,7.1521
2.993926,7.1392
3.001071,7.1419
3.008224,7.1513
3.015351,7.1258
3.022478,7.1251
3.029607,7.1277
3.036733,7.1246
3.043857,7.1229
3.050989,7.1301
3.058128,7.1377
3.065272,7.1428
3.072505,7.2310
3.079678,7.1719
3.086989,7.3084
3.094385,7.3942
3.101652,7.2651
3.109292,7.6387
3.116568,7.2745
3.123711,7.1411
3.130854,7.1421
3.137985,7.1288
3.145112,7.1251
3.152238,7.1245
3.159364,7.1255
3.166489,7.1234
3.173614,7.1233
3.180739,7.1239
3.187863,7.1229
3.194994,7.1297
3.202120,7.1240
3.209245,7.1236
3.216369,7.1229
3.223497,7.1265
3.230636,7.1371
3.237781,7.1432
3.244941,7.1576
3.252085,7.1425
3.259363,7.2761
3.266580,7.2151
3.273820,7.2381
3.281062,7.2401
3.288594,7.5312
3.296103,7.5071
3.303231,7.1258
3.310358,7.1254
3.317485,7.1254
3.324619,7.1330
3.331746,7.1258
3.338872,7.1242
3.345997,7.1235
3.353123,7.1246
3.360251,7.1267
3.367378,7.1249
3.374514,7.1353
3.381639,7.1235
3.388765,7.1238
3.395891,7.1257
3.403019,7.1258
3.410147,7.1268
3.417274,7.1259
3.424405,7.1295
3.431586,7.1785
3.438790,7.2021
3.445984,7.1924
3.453351,7.3650
3.460574,7.2217
3.467812,7.2363
3.475266,7.4529
3.482687,7.4185
3.490261,7.5723
3.497520,7.2581
3.504661,7.1398
3.511788,7.1255
3.518914,7.1243
3.526064,7.1481
3.533192,7.1258
3.540319,7.1253
3.547443,7.1226
3.554567,7.1233
3.561692,7.1236
3.568817,7.1233
3.575941,7.1228
3.583091,7.1485
