time_s,latency_ms
2.285499,7.1224
2.292674,7.1737
2.299831,7.1553
2.306960,7.1231
2.314106,7.1442
2.321234,7.1260
2.328362,7.1269
2.335486,7.1228
2.342612,7.1256
2.349742,7.1275
2.356911,7.1687
2.364044,7.1287
2.371169,7.1238
2.378294,7.1235
2.385512,7.2173
2.392636,7.1226
2.399772,7.1355
2.406905,7.1310
2.414032,7.1263
2.421158,7.1256
2.428283,7.1234
2.435415,7.1318
2.442541,7.1229
2.450006,7.4643
2.457132,7.1235
2.464258,7.1246
2.471382,7.1229
2.478505,7.1222
2.485630,7.1241
2.492797,7.1664
2.499922,7.1238
2.507045,7.1231
2.514320,7.2737
2.521444,7.1226
2.528568,7.1234
2.535695,7.1264
2.542819,7.1229
2.549944,7.1238
2.557074,7.1295
2.564199,7.1235
2.571322,7.1224
2.578474,7.1510
2.585644,7.1673
2.592816,7.1626
2.600029,7.2097
2.607272,7.2394
2.614410,7.1359
2.621541,7.1300
2.628665,7.1233
2.635789,7.1228
2.642934,7.1440
2.650058,7.1231
2.657204,7.1451
2.664329,7.1232
2.671452,7.1229
2.678575,7.1221
2.685701,7.1252
2.692827,7.1243
2.699951,7.1232
2.707095,7.1429
2.714295,7.1994
2.721419,7.1232
2.728542,7.1222
2.735675,7.1317
2.742798,7.1225
2.749924,7.1245
2.757048,7.1229
2.764170,7.1212
2.771295,7.1241
2.778418,7.1226
2.785542,7.1228
2.792666,7.1236
2.799821,7.1542
2.806946,7.1228
2.814075,7.1275
2.821273,7.1966
2.828397,7.1237
2.835524,7.1259
2.842648,7.1229
2.849772,7.1239
2.856896,7.1227
2.864020,7.1232
2.871144,7.1233
2.878268,7.1229
2.885391,7.1224
2.892515,7.1229
2.899647,7.1313
2.906781,7.1324
2.913907,7.1241
2.921030,7.1229
2.928223,7.1915
2.935346,7.1225
2.942470,7.1235
2.949592,7.1212
2.956717,7.1240
2.963851,7.1324
2.970978,7.1257
2.978102,7.1229
2.985225,7.1220
2.992349,7.1231
2.999473,7.1235
3.006598,7.1241
3.013723,7.1237
3.020846,7.1219
3.027970,7.1231
3.035163,7.1925
3.042314,7.1507
3.049449,7.1307
3.056586,7.1358
3.063715,7.1286
3.070840,7.1241
3.077968,7.1262
3.085091,7.1223
3.092214,7.1221
3.099336,7.1215
3.106460,7.1236
3.113586,7.1238
3.120710,7.1232
3.127833,7.1224
3.134958,7.1244
3.142144,7.1850
3.149285,7.1400
3.156414,7.1274
3.163537,7.1219
3.170662,7.1247
3.177786,7.1226
3.184910,7.1228
3.192034,7.1232
3.199156,7.1217
3.206281,7.1236
3.213410,7.1279
3.220533,7.1226
3.227658,7.1244
3.234781,7.1219
3.241906,7.1247
3.249088,7.1805
3.256212,7.1228
3.263335,7.1231
3.270461,7.1243
3.277585,7.1230
3.284710,7.1247
3.291840,7.1293
3.298964,7.1221
3.306090,7.1255
3.313214,7.1231
3.320338,7.1231
3.327463,7.1237
3.334587,7.1237
3.341712,7.1232
3.348840,7.1270
3.356031,7.1893
3.363158,7.1255
3.370282,7.1236
3.377404,7.1217
3.384528,7.1227
3.391654,7.1259
3.398778,7.1223
3.406205,7.4269
3.413336,7.1273
3.420460,7.1228
3.427584,7.1235
3.434714,7.1288
3.441837,7.1219
3.448960,7.1219
3.456144,7.1828
3.463266,7.1214
3.470389,7.1225
3.477514,7.1238
3.484636,7.1214
3.491760,7.1230
3.498883,7.1228
3.506007,7.1223
3.513131,7.1231
