time_s,latency_ms
0.008314,8.3134
0.015503,7.1456
0.022651,7.1458
0.029793,7.1407
0.036937,7.1410
0.044069,7.1309
0.051195,7.1248
0.058331,7.1346
0.065458,7.1264
0.072585,7.1256
0.079712,7.1266
0.086838,7.1248
0.094048,7.2095
0.101174,7.1255
0.108304,7.1286
0.115431,7.1262
0.122559,7.1268
0.129839,7.2793
0.136969,7.1288
0.144097,7.1268
0.151224,7.1260
0.158351,7.1263
0.165479,7.1270
0.172619,7.1394
0.179748,7.1275
0.186878,7.1295
0.194029,7.1495
0.201290,7.2598
0.208428,7.1374
0.215560,7.1306
0.222692,7.1311
0.229824,7.1311
0.236958,7.1325
0.244088,7.1290
0.251302,7.2132
0.258443,7.1389
0.265574,7.1297
0.272708,7.1328
0.279840,7.1309
0.287003,7.1614
0.294134,7.1300
0.301268,7.1328
0.308553,7.2838
0.315692,7.1374
0.322823,7.1296
0.329955,7.1315
0.337087,7.1305
0.344248,7.1601
0.351383,7.1333
0.358516,7.1318
0.365687,7.1706
0.372830,7.1416
0.379982,7.1502
0.387182,7.1993
0.394314,7.1306
0.401450,7.1344
0.408586,7.1355
0.415896,7.3089
0.423034,7.1368
0.430170,7.1347
0.437310,7.1389
0.444447,7.1352
0.451594,7.1464
0.458757,7.1613
0.465899,7.1405
0.473042,7.1421
0.480236,7.1932
0.487378,7.1406
0.494519,7.1394
0.501661,7.1406
0.508802,7.1401
0.515943,7.1398
0.523213,7.2681
0.530355,7.1408
0.537492,7.1366
0.544632,7.1384
0.551832,7.1990
0.558972,7.1379
0.566108,7.1356
0.573246,7.1359
0.581125,7.8784
0.588304,7.1752
0.595677,7.3716
0.602998,7.3197
0.610135,7.1361
0.617262,7.1260
0.624387,7.1240
0.631514,7.1258
0.638639,7.1243
0.645764,7.1250
0.652889,7.1240
0.660014,7.1243
0.667141,7.1256
0.674266,7.1240
0.681396,7.1296
0.688528,7.1312
0.695795,7.2661
0.702931,7.1352
0.710066,7.1343
0.717202,7.1340
0.724341,7.1377
0.731475,7.1327
0.738610,7.1350
0.745743,7.1319
0.752878,7.1337
0.760011,7.1321
0.767151,7.1386
0.774289,7.1363
0.781429,7.1384
0.788570,7.1406
0.795794,7.2228
0.803083,7.2874
0.810252,7.1677
0.817424,7.1706
0.824569,7.1444
0.831789,7.2191
0.838942,7.1513
0.846096,7.1526
0.853273,7.1758
0.860474,7.1990
0.867669,7.1936
0.874822,7.1511
0.881965,7.1426
0.889135,7.1687
0.896294,7.1585
0.903440,7.1448
0.910714,7.2723
0.917854,7.1385
0.924994,7.1390
0.932133,7.1383
0.939281,7.1461
0.946430,7.1478
0.953621,7.1905
0.960799,7.1757
0.967980,7.1798
0.975122,7.1402
0.982258,7.1353
0.989426,7.1663
0.996567,7.1395
1.003710,7.1421
1.010853,7.1418
1.018128,7.2740
1.025341,7.2112
1.032483,7.1404
1.039676,7.1923
1.046825,7.1480
1.053964,7.1378
1.061114,7.1485
1.068251,7.1368
1.075386,7.1334
1.082522,7.1351
1.089688,7.1649
1.096823,7.1335
1.103965,7.1403
1.111108,7.1415
1.118246,7.1372
1.125523,7.2759
1.132663,7.1388
1.139803,7.1387
1.146941,7.1368
1.154215,7.2732
1.161353,7.1368
1.168490,7.1353
1.175628,7.1364
1.183453,7.8239
1.190595,7.1391
1.197749,7.1533
1.205091,7.3402
1.212223,7.1305
1.219349,7.1260
1.226474,7.1240
1.233599,7.1240
1.240724,7.1247
1.247850,7.1252
1.254981,7.1296
1.262107,7.1244
1.269232,7.1247
1.276357,7.1241
1.283500,7.1426
1.290629,7.1276
1.297764,7.1339
1.304896,7.1312
1.312031,7.1334
1.319213,7.1807
1.326385,7.1707
1.333606,7.2202
1.340975,7.3674
1.348348,7.3723
1.355681,7.3315
1.363298,7.6150
1.370580,7.2807
1.377713,7.1316
1.384845,7.1316
1.391980,7.1339
1.399113,7.1316
1.406245,7.1308
1.413377,7.1313
1.420513,7.1352
1.427643,7.1290
1.434786,7.1416
1.441924,7.1363
1.449067,7.1422
1.456200,7.1318
1.463348,7.1465
1.470490,7.1406
1.477768,7.2770
1.484916,7.1470
1.492194,7.2765
1.499319,7.1239
1.506444,7.1239
1.513568,7.1242
1.520695,7.1255
1.527819,7.1239
1.534966,7.1459
1.542092,7.1244
1.549217,7.1246
1.556342,7.1241
1.563467,7.1243
1.570592,7.1242
1.577718,7.1250
1.584843,7.1251
1.591968,7.1240
1.599096,7.1269
1.606226,7.1292
1.613362,7.1343
1.620511,7.1478
1.627694,7.1827
1.634894,7.1985
1.642220,7.3247
1.649615,7.3944
1.656984,7.3673
1.664610,7.6243
1.671844,7.2333
1.678983,7.1370
1.686113,7.1288
1.693242,7.1289
1.700377,7.1333
1.707506,7.1280
1.714639,7.1322
1.721767,7.1271
1.728901,7.1330
1.736028,7.1261
1.743160,7.1309
1.750288,7.1267
1.757416,7.1267
1.764545,7.1290
1.771674,7.1269
1.778846,7.1720
1.786676,7.8278
1.793848,7.1702
1.800990,7.1401
1.808123,7.1307
1.815253,7.1292
1.822384,7.1293
1.829512,7.1269
1.836651,7.1267
1.843780,7.1283
1.850911,7.1299
1.858046,7.1335
1.865174,7.1272
1.872302,7.1271
1.879430,7.1270
1.886559,7.1280
1.893748,7.1876
1.901224,7.4730
1.908392,7.1653
1.915531,7.1361
1.922689,7.1555
1.929818,7.1277
1.936947,7.1272
1.944075,7.1274
1.951206,7.1299
1.958355,7.1478
1.965487,7.1300
1.972616,7.1281
1.979748,7.1306
1.986876,7.1267
1.994002,7.1258
2.001130,7.1271
2.008259,7.1287
2.015390,7.1298
2.022567,7.1755
2.029705,7.1365
2.036847,7.1411
2.044042,7.1931
2.051251,7.2077
2.058510,7.2579
2.065881,7.3694
2.073213,7.3312
2.080557,7.3421
2.088033,7.4749
2.095213,7.1792
2.102345,7.1300
2.109490,7.1442
2.116619,7.1283
2.123749,7.1289
2.130878,7.1280
2.138006,7.1272
2.145137,7.1301
2.152265,7.1266
2.159393,7.1268
2.166521,7.1266
2.173651,7.1288
2.180915,7.2637
2.188045,7.1287
2.195290,7.2438
2.202417,7.1266
2.209550,7.1315
2.216680,7.1290
2.223809,7.1278
2.230937,7.1277
2.238073,7.1345
2.245206,7.1323
2.252455,7.2480
2.259608,7.1510
2.266851,7.2421
2.273998,7.1451
2.281137,7.1379
2.288341,7.2033
2.295477,7.1342
2.302609,7.1312
2.309745,7.1348
2.316882,7.1359
2.324022,7.1389
2.331154,7.1308
2.338284,7.1287
2.345466,7.1802
2.352600,7.1325
2.359732,7.1317
2.366898,7.1644
2.374036,7.1363
2.381421,7.3836
2.389130,7.7073
2.396264,7.1320
2.403395,7.1295
2.410722,7.3247
2.417848,7.1260
2.424974,7.1244
2.432125,7.1507
2.439252,7.1252
2.446377,7.1242
2.453501,7.1239
2.460627,7.1246
2.467752,7.1248
2.474879,7.1261
2.482004,7.1240
2.489129,7.1242
2.496258,7.1282
2.503393,7.1342
2.510534,7.1393
2.517738,7.2029
2.524924,7.1847
2.532108,7.1831
2.539346,7.2360
2.546601,7.2539
2.553842,7.2403
2.561088,7.2445
2.568499,7.4100
2.576018,7.5173
2.583566,7.5473
2.591189,7.6214
2.598390,7.2007
2.605531,7.1397
2.612664,7.1311
2.619825,7.1600
2.626965,7.1381
2.634094,7.1277
2.641222,7.1273
2.648353,7.1292
2.655496,7.1421
2.662625,7.1278
2.669755,7.1282
2.676883,7.1274
2.684011,7.1265
2.691141,7.1292
2.698268,7.1266
2.705397,7.1283
2.712529,7.1310
2.719693,7.1628
2.726837,7.1426
2.733997,7.1594
2.741181,7.1828
2.748354,7.1715
2.755625,7.2695
2.762996,7.3700
2.770205,7.2079
2.777471,7.2642
2.784911,7.4386
2.792258,7.3461
2.799388,7.1288
2.806517,7.1285
2.813659,7.1404
2.820815,7.1282
2.827943,7.1266
2.835072,7.1284
2.842200,7.1270
2.849330,7.1285
2.856464,7.1323
2.863591,7.1261
2.870720,7.1282
2.877863,7.1426
2.885001,7.1365
2.892129,7.1272
2.899258,7.1283
2.906389,7.1294
2.913524,7.1343
2.920661,7.1361
2.927813,7.1499
2.934985,7.1711
2.942189,7.2031
2.949455,7.2649
2.956904,7.4477
2.964188,7.2830
2.971802,7.6121
2.979167,7.3641
2.986949,7.7807
2.994079,7.1285
3.001216,7.1363
3.008362,7.1431
3.015488,7.1254
3.022614,7.1246
3.029740,7.1251
3.036865,7.1249
3.043991,7.1244
3.051116,7.1243
3.058240,7.1239
3.065365,7.1241
3.072503,7.1375
3.079628,7.1239
3.086755,7.1265
3.093882,7.1258
3.101010,7.1274
3.108142,7.1306
3.115277,7.1337
3.122414,7.1358
3.129581,7.1666
3.136772,7.1891
3.143985,7.2119
3.151220,7.2340
3.158468,7.2467
3.165728,7.2584
3.173283,7.5537
3.180828,7.5444
3.187965,7.1347
3.195095,7.1293
3.202358,7.2622
3.209487,7.1273
3.216617,7.1292
3.223747,7.1287
3.230874,7.1267
3.238002,7.1270
3.245129,7.1258
3.252262,7.1323
3.259407,7.1436
3.266542,7.1336
3.273672,7.1284
3.280799,7.1269
3.287932,7.1321
3.295061,7.1277
3.302195,7.1321
3.309328,7.1321
3.316463,7.1338
3.323635,7.1705
3.330865,7.2296
3.338079,7.2120
3.345426,7.3456
3.352689,7.2616
3.359975,7.2850
3.367409,7.4327
3.374595,7.1834
3.381911,7.3134
3.389070,7.1564
3.396199,7.1279
3.403328,7.1281
3.410457,7.1274
3.417585,7.1272
3.424716,7.1302
3.431845,7.1271
3.438973,7.1269
3.446101,7.1276
3.453231,7.1291
3.460360,7.1272
3.467487,7.1267
3.474615,7.1267
3.481747,7.1314
3.488882,7.1342
3.496090,7.2062
3.503227,7.1358
3.510392,7.1638
3.517560,7.1662
3.524872,7.3113
3.532134,7.2604
3.539404,7.2689
3.546668,7.2622
3.554180,7.5115
3.561689,7.5071
3.569169,7.4783
3.576648,7.4778
3.583850,7.2012
3.591631,7.7777
3.598800,7.1662
3.605946,7.1447
3.613286,7.3388
3.620417,7.1298
3.627545,7.1270
3.634676,7.1298
3.641803,7.1263
3.648930,7.1263
3.656058,7.1275
3.663186,7.1266
3.670315,7.1277
3.677451,7.1267
3.684578,7.1262
3.691708,7.1281
3.698836,7.1276
3.705968,7.1311
3.713106,7.1367
3.720244,7.1363
3.727395,7.1505
3.734574,7.1771
3.741870,7.2948
3.749105,7.2335
3.756375,7.2695
3.763624,7.2474
3.770897,7.2715
3.778220,7.3224
3.785726,7.5043
3.793258,7.5309
3.800833,7.5730
3.808378,7.5439
3.815753,7.3733
3.822883,7.1286
3.830013,7.1291
3.837141,7.1264
3.844292,7.1508
3.851422,7.1286
3.858551,7.1279
3.865680,7.1274
3.872808,7.1274
3.879937,7.1285
3.887065,7.1265
3.894194,7.1278
3.901327,7.1328
3.908459,7.1305
3.915588,7.1278
3.922717,7.1282
3.929847,7.1289
3.936981,7.1323
3.944118,7.1365
3.951317,7.1973
3.958594,7.2749
3.965797,7.2021
3.973053,7.2551
3.980353,7.2975
3.987760,7.4065
3.995002,7.2407
4.002133,7.1296
4.009265,7.1306
4.016394,7.1278
4.023523,7.1278
4.030651,7.1276
4.037781,7.1281
4.044910,7.1283
4.052037,7.1266
4.059165,7.1266
4.066293,7.1267
4.073420,7.1268
4.080549,7.1281
4.087677,7.1272
4.094805,7.1262
4.101934,7.1289
4.109065,7.1291
4.116197,7.1314
4.123337,7.1387
4.130515,7.1771
4.137704,7.1878
4.144902,7.1973
4.152141,7.2374
4.159358,7.2157
4.166593,7.2335
4.173889,7.2943
4.181250,7.3601
4.189214,7.9621
4.196402,7.1842
4.203606,7.2012
4.210785,7.1719
4.217914,7.1276
4.225193,7.2787
4.232329,7.1348
4.239454,7.1241
4.246580,7.1251
4.253705,7.1250
4.260836,7.1295
4.267971,7.1327
4.275096,7.1242
4.282221,7.1246
4.289349,7.1272
4.296477,7.1276
4.303606,7.1276
4.310741,7.1340
4.317875,7.1333
4.325016,7.1402
4.332190,7.1722
4.339360,7.1691
