time_s,latency_ms
0.007263,7.2632
0.014458,7.1628
0.021625,7.1524
0.028774,7.1420
0.035919,7.1427
0.043063,7.1421
0.050194,7.1289
0.057323,7.1276
0.064449,7.1249
0.071575,7.1246
0.078699,7.1226
0.085827,7.1262
0.092985,7.1563
0.100110,7.1243
0.107236,7.1244
0.114365,7.1267
0.121507,7.1416
0.128649,7.1395
0.135794,7.1437
0.142923,7.1265
0.150055,7.1311
0.157214,7.1570
0.164346,7.1308
0.171484,7.1363
0.178669,7.1831
0.185973,7.3022
0.193285,7.3099
0.200515,7.2286
0.207653,7.1364
0.214793,7.1387
0.221942,7.1471
0.229071,7.1269
0.236201,7.1280
0.243332,7.1293
0.250464,7.1312
0.257595,7.1287
0.264724,7.1278
0.271852,7.1265
0.278979,7.1253
0.286144,7.1635
0.293272,7.1253
0.300398,7.1248
0.307527,7.1276
0.314658,7.1295
0.321880,7.2212
0.329048,7.1636
0.336199,7.1489
0.343452,7.2514
0.350646,7.1914
0.357773,7.1255
0.364968,7.1934
0.372143,7.1735
0.379441,7.2970
0.386576,7.1319
0.393744,7.1670
0.400873,7.1271
0.408000,7.1259
0.415185,7.1833
0.422352,7.1643
0.429490,7.1365
0.436647,7.1556
0.443774,7.1257
0.450903,7.1277
0.458079,7.1740
0.465206,7.1256
0.472332,7.1251
0.479597,7.2632
0.486724,7.1249
0.493850,7.1248
0.500991,7.1392
0.508117,7.1254
0.515247,7.1282
0.522415,7.1666
0.529548,7.1315
0.536694,7.1443
0.543832,7.1366
0.550958,7.1245
0.558104,7.1441
0.565244,7.1385
0.572370,7.1248
0.579497,7.1261
0.586785,7.2866
0.593925,7.1368
0.601069,7.1421
0.608229,7.1575
0.615370,7.1393
0.622498,7.1262
0.629629,7.1286
0.636757,7.1266
0.643890,7.1314
0.651017,7.1256
0.658145,7.1259
0.665272,7.1261
0.672399,7.1257
0.679530,7.1293
0.686657,7.1253
0.693867,7.2087
0.701025,7.1539
0.708168,7.1412
0.715296,7.1259
0.722442,7.1447
0.729670,7.2267
0.736815,7.1425
0.743953,7.1365
0.751094,7.1397
0.758222,7.1264
0.765351,7.1271
0.772481,7.1286
0.779608,7.1256
0.786734,7.1248
0.793870,7.1348
0.800998,7.1259
0.808165,7.1655
0.815302,7.1359
0.822454,7.1499
0.829592,7.1370
0.836729,7.1350
0.843866,7.1351
0.850991,7.1239
0.858161,7.1686
0.865296,7.1337
0.872424,7.1255
0.879570,7.1455
0.886720,7.1482
0.893847,7.1248
0.900990,7.1426
0.908121,7.1287
0.915248,7.1257
0.922405,7.1560
0.929541,7.1341
0.936678,7.1347
0.943829,7.1492
0.950961,7.1309
0.958087,7.1246
0.965337,7.2489
0.972494,7.1538
0.979644,7.1487
0.986832,7.1840
0.993969,7.1346
1.001095,7.1255
1.008226,7.1294
1.015356,7.1286
1.022483,7.1249
1.029627,7.1428
1.036760,7.1300
1.043886,7.1246
1.051013,7.1253
1.058144,7.1295
1.065272,7.1261
1.072399,7.1266
1.079528,7.1268
1.086655,7.1257
1.093784,7.1281
1.100975,7.1891
1.108100,7.1240
1.115242,7.1407
1.122372,7.1278
1.129509,7.1363
1.136651,7.1394
1.143778,7.1250
1.150905,7.1256
1.158061,7.1545
1.165188,7.1253
1.172315,7.1252
1.179441,7.1247
1.186733,7.2909
1.193879,7.1413
1.201019,7.1372
1.208179,7.1571
1.215309,7.1274
1.222439,7.1280
1.229568,7.1274
1.236695,7.1259
1.243847,7.1499
1.250974,7.1248
1.258101,7.1256
1.265227,7.1246
1.272354,7.1255
1.279484,7.1278
1.286612,7.1273
1.293740,7.1259
1.300999,7.2580
1.308233,7.2305
1.315364,7.1272
1.322502,7.1364
1.329632,7.1265
1.336765,7.1307
1.343892,7.1253
1.351022,7.1295
1.358150,7.1259
1.365350,7.1989
1.372498,7.1450
1.379627,7.1265
1.386754,7.1262
1.393883,7.1271
1.401026,7.1417
1.408172,7.1425
1.415305,7.1309
1.422434,7.1263
1.429590,7.1541
1.436745,7.1536
1.443877,7.1300
1.451004,7.1259
1.458189,7.1834
1.465316,7.1256
1.472444,7.1262
1.479575,7.1300
1.486702,7.1256
1.493830,7.1259
1.501065,7.2345
1.508198,7.1310
1.515325,7.1249
1.522450,7.1241
1.529589,7.1379
1.536739,7.1476
1.543869,7.1283
1.550996,7.1256
1.558123,7.1254
1.565280,7.1557
1.572408,7.1257
1.579537,7.1282
1.586663,7.1253
1.593873,7.2078
1.601023,7.1485
1.608177,7.1525
1.615306,7.1261
1.622504,7.1967
1.629678,7.1712
1.636828,7.1484
1.643965,7.1348
1.651091,7.1250
1.658218,7.1256
1.665345,7.1247
1.672472,7.1265
1.679600,7.1261
1.686726,7.1245
1.693858,7.1304
1.700985,7.1255
1.708112,7.1258
1.715238,7.1245
1.722365,7.1255
1.729587,7.2209
1.736753,7.1638
1.743892,7.1373
1.751132,7.2384
1.758259,7.1244
1.765387,7.1268
1.772512,7.1244
1.779640,7.1261
1.786779,7.1381
1.793966,7.1824
1.801122,7.1528
1.808267,7.1434
1.815400,7.1305
1.822563,7.1614
1.829716,7.1352
1.836847,7.1294
1.843975,7.1258
1.851104,7.1274
1.858231,7.1258
1.865356,7.1245
1.872487,7.1296
1.879616,7.1273
1.886811,7.1932
1.893939,7.1253
1.901065,7.1249
1.908204,7.1380
1.915331,7.1249
1.922460,7.1283
1.929590,7.1275
1.936753,7.1620
