time_s,latency_ms
0.008602,8.6016
0.015792,7.1645
0.022966,7.1485
0.030104,7.1341
0.037248,7.1420
0.044394,7.1439
0.051537,7.1423
0.058671,7.1322
0.065805,7.1321
0.072933,7.1249
0.080058,7.1230
0.087185,7.1253
0.094310,7.1241
0.101441,7.1291
0.108565,7.1232
0.115692,7.1249
0.122870,7.1766
0.130036,7.1634
0.137185,7.1467
0.144310,7.1236
0.151435,7.1233
0.158560,7.1237
0.165691,7.1289
0.172815,7.1231
0.180107,7.2910
0.187250,7.1402
0.194374,7.1231
0.201505,7.1291
0.208630,7.1239
0.215758,7.1258
0.222890,7.1310
0.230018,7.1261
0.237144,7.1242
0.244319,7.1737
0.251454,7.1323
0.258608,7.1529
0.265781,7.1707
0.272962,7.1791
0.280220,7.2572
0.287473,7.2506
0.294645,7.1707
0.301878,7.2313
0.309057,7.1777
0.316239,7.1802
0.323467,7.2263
0.330725,7.2556
0.337907,7.1802
0.345109,7.2003
0.352299,7.1879
0.359468,7.1676
0.366651,7.1819
0.373973,7.3209
0.381273,7.2982
0.388410,7.1349
0.395531,7.1203
0.402654,7.1210
0.409783,7.1286
0.416908,7.1222
0.424037,7.1265
0.431159,7.1211
0.438311,7.1507
0.445437,7.1242
0.452560,7.1216
0.459684,7.1232
0.466808,7.1223
0.473931,7.1214
0.481055,7.1232
0.488272,7.2154
0.495436,7.1626
0.502603,7.1645
0.509776,7.1717
0.516902,7.1243
0.524028,7.1240
0.531179,7.1495
0.538319,7.1381
0.545449,7.1292
0.552587,7.1362
0.559712,7.1220
0.566854,7.1414
0.573980,7.1242
0.581221,7.2400
0.588408,7.1835
0.595570,7.1595
0.602736,7.1641
0.610091,7.3538
0.617235,7.1396
0.624363,7.1257
0.631489,7.1254
0.638618,7.1270
0.645752,7.1301
0.654578,7.2447
0.661735,7.1384
0.668855,7.1197
0.675997,7.1402
0.683118,7.1208
0.690241,7.1213
0.697361,7.1197
0.704483,7.1204
0.711604,7.1207
0.718725,7.1197
0.725847,7.1200
0.732969,7.1205
0.740091,7.1210
0.747212,7.1206
0.754336,7.1226
0.761604,7.2675
0.768731,7.1248
0.775881,7.1491
0.783006,7.1232
0.790138,7.1306
0.797261,7.1219
0.804404,7.1416
0.811528,7.1217
0.818658,7.1293
0.825783,7.1224
0.832908,7.1229
0.840035,7.1256
0.847159,7.1221
0.854283,7.1231
0.861407,7.1222
0.868662,7.2545
0.875787,7.1232
0.882913,7.1241
0.890038,7.1235
0.897162,7.1232
0.904298,7.1345
0.911423,7.1226
0.918546,7.1220
0.925671,7.1239
0.932796,7.1230
0.939921,7.1236
0.947146,7.2234
0.954282,7.1335
0.961406,7.1226
0.968529,7.1215
0.975654,7.1235
0.982780,7.1251
0.989905,7.1231
0.997039,7.1331
1.004165,7.1240
1.011289,7.1230
1.018415,7.1242
1.025540,7.1235
1.032698,7.1561
1.039826,7.1246
1.046952,7.1239
1.054127,7.1744
1.061251,7.1221
1.068377,7.1243
1.075500,7.1219
1.082625,7.1245
1.089749,7.1223
1.096874,7.1238
1.104003,7.1280
1.111128,7.1235
1.118263,7.1331
1.125387,7.1225
1.132515,7.1259
1.139640,7.1234
1.146764,7.1222
1.153887,7.1222
1.161116,7.2272
1.168240,7.1232
1.175378,7.1365
1.182558,7.1780
1.189735,7.1723
1.196868,7.1256
1.204195,7.3255
1.211340,7.1414
1.218467,7.1245
1.225593,7.1247
1.232718,7.1230
1.239846,7.1267
1.246971,7.1228
1.254095,7.1223
1.261219,7.1229
1.268358,7.1375
1.275488,7.1282
1.282614,7.1247
1.289845,7.2291
1.296972,7.1256
1.304104,7.1309
1.311229,7.1230
1.318353,7.1229
1.325489,7.1342
1.332734,7.2429
1.339865,7.1270
1.346997,7.1301
1.354123,7.1249
1.361249,7.1239
1.368375,7.1247
1.375499,7.1224
1.382624,7.1242
1.389767,7.1418
1.396937,7.1681
1.404168,7.2290
1.411343,7.1720
1.418534,7.1867
1.425666,7.1297
1.432791,7.1231
1.439915,7.1225
1.447039,7.1228
1.454164,7.1241
1.461305,7.1401
1.468429,7.1218
1.475552,7.1217
1.482678,7.1253
1.489897,7.2173
1.497138,7.2377
1.504271,7.1261
1.511408,7.1310
1.518535,7.1238
1.525656,7.1203
1.532778,7.1198
1.539906,7.1259
1.547029,7.1226
1.554165,7.1332
1.561286,7.1199
1.568414,7.1275
1.575535,7.1199
1.582658,7.1213
1.589780,7.1211
1.596900,7.1195
1.604119,7.2185
1.611284,7.1631
1.618412,7.1256
1.625562,7.1487
1.632693,7.1287
1.639821,7.1261
1.646947,7.1237
1.654090,7.1422
1.661213,7.1216
1.668337,7.1225
1.675461,7.1223
1.682586,7.1237
1.689711,7.1235
1.696834,7.1218
1.703962,7.1267
1.711177,7.2134
1.718302,7.1239
1.725425,7.1220
1.732551,7.1240
1.739696,7.1438
1.746820,7.1219
1.753944,7.1222
1.761068,7.1233
1.768193,7.1231
1.775355,7.1613
1.782494,7.1356
1.789866,7.3703
1.797056,7.1878
1.804248,7.1903
1.811410,7.1603
1.818559,7.1467
1.825729,7.1677
1.832881,7.1358
1.840011,7.1278
1.847185,7.1724
1.854312,7.1251
1.861435,7.1222
1.868559,7.1222
1.875684,7.1238
1.882896,7.2101
1.890027,7.1278
1.897250,7.2222
1.904375,7.1231
1.911531,7.1550
1.918661,7.1282
1.925804,7.1423
1.932930,7.1242
1.940055,7.1233
1.947182,7.1254
1.954307,7.1231
1.961431,7.1229
1.968555,7.1224
1.975702,7.1459
1.982828,7.1242
1.989952,7.1223
1.997076,7.1221
2.004302,7.2254
2.011425,7.1214
2.018552,7.1260
2.025677,7.1227
2.032838,7.1605
2.039994,7.1531
2.047167,7.1709
2.054293,7.1237
2.061418,7.1229
2.068543,7.1238
2.075740,7.1957
2.082865,7.1230
2.090002,7.1355
2.097126,7.1225
2.104257,7.1300
2.111384,7.1255
2.118508,7.1225
2.125632,7.1229
2.132784,7.1505
2.139910,7.1245
2.147035,7.1235
2.154239,7.2020
2.161373,7.1306
2.168516,7.1416
2.175643,7.1257
2.182781,7.1366
2.189906,7.1227
2.197030,7.1224
2.204155,7.1240
2.211279,7.1227
2.218406,7.1255
2.225533,7.1252
2.232819,7.2845
2.239945,7.1239
2.247088,7.1415
2.254215,7.1249
2.261435,7.2178
2.268559,7.1233
2.275686,7.1257
2.282866,7.1781
2.289991,7.1223
2.297122,7.1299
2.304261,7.1368
2.311386,7.1242
2.318510,7.1225
2.325635,7.1235
2.332764,7.1272
2.339922,7.1567
2.347049,7.1249
2.354173,7.1234
2.361299,7.1236
2.368423,7.1235
2.375549,7.1241
2.382673,7.1228
2.390042,7.3677
2.397193,7.1454
2.404355,7.1609
2.411516,7.1585
2.418874,7.3563
2.426009,7.1338
2.433139,7.1286
2.440268,7.1275
2.447402,7.1310
2.454531,7.1279
2.461666,7.1315
2.468789,7.1218
2.475914,7.1232
2.483051,7.1358
2.490197,7.1432
2.497426,7.2270
2.504551,7.1230
2.511777,7.2251
2.518905,7.1248
2.526044,7.1368
2.533167,7.1219
2.540296,7.1279
2.547470,7.1720
2.554644,7.1710
2.561792,7.1463
2.568916,7.1226
2.576043,7.1249
2.583188,7.1441
2.590315,7.1251
2.597439,7.1233
2.604680,7.2395
2.611833,7.1516
2.618958,7.1224
2.626081,7.1219
2.633205,7.1223
2.640336,7.1302
2.647461,7.1227
2.654584,7.1220
2.661709,7.1229
2.668832,7.1223
2.675962,7.1283
2.683113,7.1496
2.690290,7.1758
2.697414,7.1212
2.704545,7.1304
2.711775,7.2283
2.718898,7.1218
2.726022,7.1226
2.733145,7.1221
2.740301,7.1543
2.747431,7.1279
2.754590,7.1580
2.761714,7.1225
2.768838,7.1227
2.776009,7.1692
2.783134,7.1223
2.790303,7.1677
2.797427,7.1233
2.804599,7.1702
2.811730,7.1293
2.818861,7.1296
2.826149,7.2862
2.833277,7.1260
2.840417,7.1395
2.847544,7.1248
2.854669,7.1238
2.861793,7.1226
2.868918,7.1239
2.876042,7.1225
2.883214,7.1704
2.890344,7.1282
2.897477,7.1311
2.904605,7.1270
2.911729,7.1227
2.918853,7.1220
2.925975,7.1214
2.933218,7.2421
2.940352,7.1316
2.947483,7.1294
2.954608,7.1238
2.961732,7.1222
2.968856,7.1232
2.975981,7.1232
2.983112,7.1299
2.990420,7.3062
2.997599,7.1744
3.004763,7.1617
3.011925,7.1608
3.019070,7.1437
3.026196,7.1242
3.033320,7.1224
3.040447,7.1257
3.047575,7.1264
3.054703,7.1265
3.061827,7.1223
3.068951,7.1222
3.076084,7.1313
3.083215,7.1304
3.090340,7.1234
3.097578,7.2361
3.104709,7.1297
3.111832,7.1222
3.118958,7.1240
3.126094,7.1346
3.133217,7.1221
3.140345,7.1266
3.147475,7.1273
3.154599,7.1229
3.161724,7.1232
3.168847,7.1222
3.175970,7.1219
3.183114,7.1417
3.190256,7.1411
3.197380,7.1225
3.204615,7.2333
3.211744,7.1282
3.218869,7.1231
3.225993,7.1230
3.233117,7.1222
3.240264,7.1456
3.247409,7.1431
3.254671,7.2600
3.261798,7.1253
3.268921,7.1222
3.276046,7.1236
3.283172,7.1240
3.290297,7.1235
3.297421,7.1230
3.304550,7.1277
3.311806,7.2551
3.318986,7.1773
3.326109,7.1221
3.333238,7.1280
3.340364,7.1243
3.347497,7.1321
3.354630,7.1314
3.361755,7.1227
3.368878,7.1221
3.376002,7.1222
3.383127,7.1237
3.390250,7.1222
3.397375,7.1237
3.404510,7.1332
3.411637,7.1256
3.418865,7.2259
3.426005,7.1393
3.433148,7.1419
3.440272,7.1223
3.447426,7.1528
3.454552,7.1241
3.461677,7.1244
3.468802,7.1231
3.475927,7.1237
3.483051,7.1229
3.490176,7.1231
3.497300,7.1226
3.504432,7.1314
3.511585,7.1518
3.518710,7.1234
3.525835,7.1231
3.533115,7.2786
3.540240,7.1230
3.547395,7.1534
3.554524,7.1272
3.561662,7.1358
3.568796,7.1324
3.575925,7.1276
3.583048,7.1221
3.590291,7.2417
3.597522,7.2243
3.604837,7.3136
3.611967,7.1286
3.619281,7.3129
3.626403,7.1208
3.633523,7.1195
3.640645,7.1208
3.647767,7.1206
3.654889,7.1207
3.662023,7.1203
3.669146,7.1218
3.676267,7.1195
3.683387,7.1195
3.690508,7.1197
3.697629,7.1203
3.704770,7.1400
3.711891,7.1205
3.719015,7.1224
3.726154,7.1374
3.733280,7.1248
3.740452,7.1709
3.747583,7.1297
3.754714,7.1284
3.761854,7.1378
3.768989,7.1335
3.776228,7.2373
3.783358,7.1280
3.790644,7.2843
3.797774,7.1262
3.804905,7.1300
3.812094,7.1873
3.819239,7.1427
3.826373,7.1324
3.833506,7.1318
3.840634,7.1272
3.847779,7.1437
3.854928,7.1465
3.862058,7.1281
3.869189,7.1290
3.876321,7.1309
3.883503,7.1799
3.890641,7.1371
3.897778,7.1353
3.904939,7.1595
3.912065,7.1242
3.919194,7.1283
3.926325,7.1289
3.933462,7.1355
3.940606,7.1421
3.947810,7.2025
3.955017,7.2047
3.962150,7.1320
3.969284,7.1322
3.976419,7.1339
3.983582,7.1614
3.990720,7.1359
3.997857,7.1353
4.005039,7.1808
4.012239,7.1982
4.019407,7.1661
4.026571,7.1626
4.033712,7.1396
4.040844,7.1306
4.048057,7.2110
4.055291,7.2315
4.062459,7.1658
4.069602,7.1416
4.076754,7.1502
4.083897,7.1412
4.091030,7.1310
